id,segment,family,class,brick,product_name
2745,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,sheet celebration confetti cake with confetti whipped icing
2746,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery chocolate,chocolate truffles chocolate mousse caramel french vanilla red velvet
2747,food beverage,bread bakery products,bread bakery products,bread perishable,enriched white sandwich bread white
2748,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,charleston chew vanilla
2749,food beverage,bread bakery products,bread bakery products,bread perishable,original oatnut bread original oatnut
2750,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery chocolate,chocolate cheese fudge with walnuts
2751,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,strawberry filling gold cake
2752,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery chocolate,mini kif kef megadim wafer fingers in milk chocolate
2753,food beverage,cereal grain pulse products,breakfast cereals,breakfast cereals ready to eat,whole grain oat clusters with sliced almonds honey granola vanilla almonds
2754,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,angel food cake with strawberry icing
2755,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,mini cupcakes golden vanilla chocolate
2756,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,mini cupcakes vanilla
2757,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,sliced loaf cake cranberry orange
2758,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,fruit snacks red belt watermelon strawberry red apple cherry raspberry
2759,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,cupcakes with cream cheese filling carrot nut
2760,food beverage,bread bakery products,bread bakery products,bread perishable,artisan bread nine grain loaf
2761,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,double layer lemon cake
2762,food beverage,bread bakery products,bread bakery products,bread perishable,bagels
2763,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,fudge swirl ice cream vanilla
2764,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,premium ice cream once upon a cookie
2765,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,candy conversation heart
2766,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery chocolate,milk chocolate hearts
2767,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery chocolate,milk chocolate
2768,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,lemon cream shortcake
2769,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,chocolate cupcakes chocolate
2770,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery chocolate,solid milk white chocolate mug
2771,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,soft yogurt filled biscuits cereal vanilla yogurt
2772,food beverage,bread bakery products,bread bakery products,bread perishable,nutty bread
2773,food beverage,seasonings preservatives extracts,seasonings preservatives extracts,seasonings marinades prepared processed,extra fancy chipotle hamburger seasoning
2774,food beverage,seasonings preservatives extracts,seasonings preservatives extracts,seasonings marinades prepared processed,roasted onion potato seasoning mix roasted onion potato
2775,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,cookies peanut butter
2776,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,chocolate cupcakes with creamy filling chocolate cake
2777,food beverage,cereal grain pulse products,breakfast cereals,breakfast cereals ready to eat,superfood hot cereal blueberry chai
2778,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,shortbread cookies strawberry
2779,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,dees fruit snacks bouchees aux fruits
2780,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,cookies raspberry cheesecake
2781,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,swirl cookies
2782,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,mini crisp cookies oatmeal
2783,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,jimmy s cookies chocolate chip
2784,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,gourmet decorated shortbread cookie shortbread
2785,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,fun dip candy gift set for ages
2786,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,neon squiggles
2787,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,candy watches
2788,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,candy gift hard candy
2789,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,hard candy
2790,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,gummies stickers fruit
2791,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,diamond collection sugar free candy strawberry
2792,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,farfalle tricolor traditional artisanal pasta
2793,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,fruit vines bites cherry
2794,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,candy jewelry
2795,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,spearmint leaves flavored candy spearmint leaves
2796,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,caramel coconut tips caramel
2797,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,candy corn
2798,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,mini marshmallows
2799,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,paletas de cajeta
2800,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,ice cream vanilla chocolate duo
2801,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,celebrations pops passion fruit
2802,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,color your mouth taffy on a stick
2803,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,color your mouth dipper candy
2804,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,color your mouth pops fruity
2805,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,color your mouth mystery licks fruity
2806,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product pot sized thin spaghetti
2807,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product pot sized spaghetti
2808,food beverage,cereal grain pulse products,breakfast cereals,cereal granola bars,fruit grain cereal bars strawberry
2809,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,all natural pure apple juice
2810,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,soft chewy candy black liquorice
2811,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,gluten free corn rice blend pasta penne
2812,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,candy sour eggs
2813,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,music box with candy
2814,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,gummi turtles strawberry
2815,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,sour mini neon gummi worms orange cherry green apple blue raspberry lemon
2816,food beverage,beverages,non alcoholic beverages ready to drink,soft drinks ready to drink,wild lime soda wild lime
2817,food beverage,beverages,non alcoholic beverages ready to drink,soft drinks ready to drink,soda apple apple
2818,food beverage,beverages,non alcoholic beverages ready to drink,soft drinks ready to drink,lemon lime twist caffeine free zero calorie soda lemon lime twist
2819,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,four seasons mixed fruit juice mango guava pineapple and orange
2820,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,toy truck with candy
2821,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,toy truck with candy
2822,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,sand tool with candy
2823,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,toy truck with candy
2824,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,water gun with candy
2825,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,bunny egg with candy
2826,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,easter flower candy fruit
2827,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,easter flower candy fruit
2828,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,sour lovers
2829,food beverage,fruits vegetables nuts seeds prepared processed,nuts seeds prepared processed,nuts seeds prepared processed shelf stable,choco nut trail mix
2830,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,danish pastry cheery cheese
2831,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,organic morning energizer smoothie kiwi banana
2832,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,egg custard pie
2833,food beverage,beverages,non alcoholic beverages ready to drink,soft drinks ready to drink,cola
2834,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,all natural ultra premium ice cream praline crunch
2835,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,ultra premium ice cream coffee chicory
2836,food beverage,prepared preserved foods,prepared preserved foods liquid sauce soup,sauce ready to eat shelf stable,medium thick chunky salsa medium
2837,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,ice cream vanilla bean
2838,food beverage,prepared preserved foods,prepared preserved foods liquid sauce soup,sauce ready to eat shelf stable,mild thick chunky salsa mild
2839,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,triple bear gummi candy sour
2840,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,candy coconut
2841,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,premium ice cream salted caramel cups
2842,food beverage,fruits vegetables nuts seeds prepared processed,nuts seeds prepared processed,nuts seeds prepared processed shelf stable,dark chocolate cranberry trail mix peanuts raisins sunflower kernels dark chocolate chips dried cranberries almonds dark chocolate cranberry
2843,food beverage,bread bakery products,bread bakery products,bread perishable,buns
2844,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,candy peach
2845,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,leche citas caramel cubes
2846,food beverage,fruits vegetables nuts seeds prepared processed,nuts seeds prepared processed,nuts seeds prepared processed shelf stable,sweet salty trail mix with peanuts m m s milk chocolate candies raisins and almonds sweet salty
2847,food beverage,cereal grain pulse products,breakfast cereals,cereal granola bars,fruit grain cereal bars blueberry
2848,food beverage,beverages,non alcoholic beverages ready to drink,soft drinks ready to drink,cola vanilla
2849,food beverage,beverages,non alcoholic beverages ready to drink,soft drinks ready to drink,soda lemon lime
2850,food beverage,cereal grain pulse products,breakfast cereals,cereal granola bars,energy bars
2851,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,cream cheese frosted cinnamon rolls cream cheese frosted
2852,food beverage,fruits vegetables nuts seeds prepared processed,vegetables prepared processed,vegetables prepared processed shelf stable,soursop in syrup
2853,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,devil s food cremes filled devil s food cookies devil s food
2854,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,powdered donuts powdered
2855,food beverage,fruits vegetables nuts seeds prepared processed,nuts seeds prepared processed,nuts seeds prepared processed shelf stable,honey roasted mammoth pecans honey roasted
2856,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,cranberry juice drink from concentrate cranberry
2857,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,powdered sugar mini donuts powdered sugar
2858,food beverage,bread bakery products,bread bakery products,bread perishable,cinnamon raisin thick sliced swirl cinnamon raisin
2859,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,cinnamon mini donuts cinnamon
2860,food beverage,bread bakery products,bread bakery products,bread perishable,enriched po boy rolls
2861,food beverage,bread bakery products,bread bakery products,bread perishable,grain bread grain
2862,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,crunch mini donuts crunch
2863,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,butterscotch iced sponge cakes butterscotch
2864,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,fudge brownies chip topped bars fudge brownies
2865,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,iced fudge soft cookie bars with fudge icing iced fudge
2866,food beverage,bread bakery products,bread bakery products,bread perishable,enriched hot dog buns
2867,food beverage,bread bakery products,bread bakery products,bread perishable,enriched hamburg rolls
2868,food beverage,bread bakery products,bread bakery products,bread perishable,rye no seeds premium bread rye
2869,food beverage,bread bakery products,bread bakery products,bread perishable,hearty canadian white premium enriched bread hearty canadian white
2870,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,spice cakes with buttercream icing spice
2871,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,powdered sugar mini donuts powdered sugar
2872,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,banana pudding cakes natural banana
2873,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,carrot cake carrot
2874,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,apple cinnamon sweet rolls apple cinnamon
2875,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,cinnamon mini donuts cinnamon
2876,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,creme filled little layer yellow cakes
2877,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,donut sticks donut
2878,food beverage,fruits vegetables nuts seeds prepared processed,nuts seeds prepared processed,nuts seeds prepared processed shelf stable,sweet nut honey roasted peanuts raisins frosted walnuts cashews dried sweetened cranberries trail mix sweet nut
2879,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,pumpkin spice flavored cupcakes with cream cheese icing pumpkin spice
2880,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,yellow sponge cakes dessert cups
2881,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,raspberry creme filled cakes raspberry
2882,food beverage,bread bakery products,bread bakery products,bread perishable,enriched split top white bread white
2883,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,glazed donut sticks glazed
2884,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,oatmeal cremes filled oatmeal cookies oatmeal
2885,food beverage,bread bakery products,bread bakery products,bread perishable,crusty bulkie rolls
2886,food beverage,bread bakery products,bread bakery products,bread perishable,organic honey oats flax bread honey oats flax
2887,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,banana layer cakes with vanilla creme filling banana
2888,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,creme filled cakes
2889,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,cinnamon rolls cinnamon
2890,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,tastykake danish berry cheese berry cheese
2891,food beverage,fruits vegetables nuts seeds prepared processed,nuts seeds prepared processed,nuts seeds prepared processed shelf stable,honey roasted peanuts honey roasted
2892,food beverage,bread bakery products,bread bakery products,bread perishable,good old fashioned bread good old fashioned
2893,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,blueberry fine donuts blueberry
2894,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,orange flavored creme filled cupcakes orange
2895,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,premium plus with calcium apple juice apple
2896,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,strawberry iced sponge cakes strawberry
2897,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,margherite cookies margherite
2898,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,pineapple mango juice from concentrate with added ingredients pineapple mango
2899,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product spaghetti
2900,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product elbows spaghetti penne
2901,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,pineapple banana juice from concentrate pineapple banana
2902,food beverage,fruits vegetables nuts seeds prepared processed,vegetables prepared processed,vegetables prepared processed shelf stable,castelvetrano olives
2903,food beverage,fruits vegetables nuts seeds prepared processed,nuts seeds prepared processed,nuts seeds prepared processed shelf stable,sunflower kernels roasted salted roasted salted
2904,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,milk liquid perishable,chocolate low fat milk chocolate
2905,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,spring celebration cupcake mini vanilla
2906,food beverage,bread bakery products,bread bakery products,bread perishable,garlic bread garlic
2907,food beverage,fruits vegetables nuts seeds prepared processed,nuts seeds prepared processed,nuts seeds prepared processed shelf stable,cashew lover mix jumbo cashews with almonds pecans cashew lover mix
2908,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,strawberry cake strawberry
2909,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,mint chocolate chip reduced fat ice cream mint chocolate chip
2910,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,chocolate reduced fat ice cream chocolate
2911,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,chocolate swirl flavored vanilla reduced fat ice cream with chocolate flavored swirls chocolate swirl
2912,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,chocolate chip flavored vanilla reduced fat ice cream with chocolate flavored chips chocolate chip
2913,food beverage,fruits vegetables nuts seeds prepared processed,nuts seeds prepared processed,nuts seeds prepared processed shelf stable,toasted coconut flavored oven roasted almonds toasted coconut
2914,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,cheesecake strawberry
2915,food beverage,bread bakery products,bread bakery products,bread perishable,multi grain english muffins
2916,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,vanilla flavored midgees vanilla
2917,food beverage,bread bakery products,bread bakery products,bread perishable,plain larger bakery style bagels plain
2918,food beverage,bread bakery products,bread bakery products,bread perishable,whole grain white bread whole grain white
2919,food beverage,bread bakery products,bread bakery products,bread perishable,whole wheat sandwich bread whole wheat
2920,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,swirl cheesecake strawberry
2921,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,mini cupcakes with buttercreme icing golden vanilla
2922,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,mini cupcakes chocolate
2923,food beverage,bread bakery products,bread bakery products,bread perishable,hot dog buns
2924,food beverage,bread bakery products,bread bakery products,bread perishable,hamburger buns hamburger
2925,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,gluten free corn rice blend pasta fusilli
2926,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,original ooey gooey butter cake original
2927,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,old fashioned strawberry rhubarb pie strawberry rhubarb pie
2928,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,old fashioned coconut custard pie coconut custard
2929,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,old fashioned apple pie apple
2930,food beverage,bread bakery products,bread bakery products,bread perishable,white pita pockets white
2931,food beverage,seasonings preservatives extracts,seasonings preservatives extracts,seasonings marinades prepared processed,steak seasoning spicy spicy
2932,food beverage,seasonings preservatives extracts,seasonings preservatives extracts,seasonings marinades prepared processed,steak seasoning
2933,food beverage,seasonings preservatives extracts,seasonings preservatives extracts,seasonings marinades prepared processed,special bar b q seasoning rub
2934,food beverage,seasonings preservatives extracts,seasonings preservatives extracts,seasonings marinades prepared processed,steak seasoning
2935,food beverage,bread bakery products,bread bakery products,bread perishable,sprouted grains flourless sprouted whole grain english muffins sprouted grains
2936,food beverage,bread bakery products,bread bakery products,bread perishable,sprouted grain flourless sprouted whole grain english muffins sprouted grain
2937,food beverage,bread bakery products,bread bakery products,bread perishable,flax flourless sprouted grain bread flax
2938,food beverage,bread bakery products,bread bakery products,bread perishable,multi seed gluten free english muffins multi seed
2939,food beverage,bread bakery products,bread bakery products,bread perishable,brown rice gluten free english muffins brown rice
2940,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,elbow ridged pasta italian macaroni product bronze cut chifferini
2941,food beverage,bread bakery products,bread bakery products,bread perishable,sliced sandwich rolls
2942,food beverage,bread bakery products,bread bakery products,bread perishable,enriched vienna rolls
2943,food beverage,bread bakery products,bread bakery products,bread perishable,enriched club rolls
2944,food beverage,bread bakery products,bread bakery products,bread perishable,hamburger buns
2945,food beverage,bread bakery products,bread bakery products,bread perishable,italian bread
2946,food beverage,prepared preserved foods,prepared preserved foods liquid sauce soup,sauce ready to eat shelf stable,grade a fancy tomato ketchup tomato
2947,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,marzipan almond candy dough marzipan
2948,food beverage,bread bakery products,bread bakery products,bread perishable,rice almond gluten free bread rice almond
2949,food beverage,bread bakery products,bread bakery products,bread perishable,rice millet gluten free bread rice millet
2950,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,natural vanilla ice cream natural vanilla
2951,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,vanilla light ice cream vanilla
2952,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,butter pecan frozen dairy dessert butter pecan
2953,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,vanilla frozen dairy dessert vanilla
2954,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,cookies cream vanilla with cookie pieces frozen dairy dessert cookies cream
2955,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,vanilla light ice cream with pieces caramel swirl and chocolatey coated peanuts vanilla
2956,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,rich frosted party mini donuts rich frosted
2957,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,creme filled butterfly cakes creme
2958,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product bow ties
2959,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product mostaccioli rigati
2960,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product vermicelli
2961,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product rotini
2962,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched tomato and spinach macaroni product tricolor rotini
2963,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product elbow macaroni
2964,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product mostaccioli
2965,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product thin spaghetti
2966,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product radiatore
2967,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product rigatoni
2968,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched tomato and spinach macaroni product tricolor rotini
2969,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product elbow macaroni
2970,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product penne rigate
2971,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,calories penne
2972,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product angel hair
2973,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product elbow macaroni
2974,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product rotelle
2975,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product mostaccioli
2976,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product small shells
2977,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product spaghetti
2978,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product ziti
2979,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product thin spaghetti
2980,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,whole grain whole wheat pasta penne rigate
2981,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,whole grain whole wheat pasta rotini
2982,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,whole grain wheat pasta thin spaghetti whole grain
2983,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product medium shells
2984,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product lasagna
2985,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni products penne rigate
2986,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product jumbo shells
2987,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched egg white pasta dumplings
2988,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,gluten free pasta thin spaghetti
2989,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,whole grain whole wheat pasta lasagna
2990,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,whole grain whole wheat pasta spaghetti
2991,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,new york vanilla reduced fat ice cream new york vanilla
2992,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,butter pecan old fashioned ice cream butter pecan
2993,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,cookies cream old fashioned ice cream cookies cream
